filepath,filename,category,category_encoded
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_1406.jpg,public_infrastructure_1406.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/TREES_ENVIRONMENT/trees_environment_0547.jpg,trees_environment_0547.jpg,TREES_ENVIRONMENT,4
processed/images/STREET_LIGHTING/street_lighting_1104.jpg,street_lighting_1104.jpg,STREET_LIGHTING,1
processed/images/TREES_ENVIRONMENT/trees_environment_0303.jpg,trees_environment_0303.jpg,TREES_ENVIRONMENT,4
processed/images/TREES_ENVIRONMENT/trees_environment_0792.jpg,trees_environment_0792.jpg,TREES_ENVIRONMENT,4
processed/images/STREET_LIGHTING/street_lighting_0596.jpg,street_lighting_0596.jpg,STREET_LIGHTING,1
processed/images/WATER_DRAINAGE/water_drainage_0360.jpg,water_drainage_0360.jpg,WATER_DRAINAGE,2
processed/images/TREES_ENVIRONMENT/trees_environment_0588.jpg,trees_environment_0588.jpg,TREES_ENVIRONMENT,4
processed/images/WATER_DRAINAGE/water_drainage_0348.jpg,water_drainage_0348.jpg,WATER_DRAINAGE,2
processed/images/WASTE_MANAGEMENT/waste_management_0910.jpg,waste_management_0910.jpg,WASTE_MANAGEMENT,3
processed/images/TREES_ENVIRONMENT/trees_environment_0343.jpg,trees_environment_0343.jpg,TREES_ENVIRONMENT,4
processed/images/TREES_ENVIRONMENT/trees_environment_0590.jpg,trees_environment_0590.jpg,TREES_ENVIRONMENT,4
processed/images/ROADS/roads_0025.jpeg,roads_0025.jpeg,ROADS,0
processed/images/ROADS/roads_1808.png,roads_1808.png,ROADS,0
processed/images/WASTE_MANAGEMENT/waste_management_0062.jpg,waste_management_0062.jpg,WASTE_MANAGEMENT,3
processed/images/TREES_ENVIRONMENT/trees_environment_1566.jpg,trees_environment_1566.jpg,TREES_ENVIRONMENT,4
processed/images/TREES_ENVIRONMENT/trees_environment_1429.jpg,trees_environment_1429.jpg,TREES_ENVIRONMENT,4
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0526.jpg,public_infrastructure_0526.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/TREES_ENVIRONMENT/trees_environment_1308.jpg,trees_environment_1308.jpg,TREES_ENVIRONMENT,4
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0204.jpg,public_infrastructure_0204.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0637.jpg,public_infrastructure_0637.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/TREES_ENVIRONMENT/trees_environment_1305.jpg,trees_environment_1305.jpg,TREES_ENVIRONMENT,4
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0715.jpg,public_infrastructure_0715.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0395.jpg,public_infrastructure_0395.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0033.jpg,public_infrastructure_0033.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/ROADS/roads_0005.jpeg,roads_0005.jpeg,ROADS,0
processed/images/STREET_LIGHTING/street_lighting_0984.jpg,street_lighting_0984.jpg,STREET_LIGHTING,1
processed/images/STREET_LIGHTING/street_lighting_0806.jpg,street_lighting_0806.jpg,STREET_LIGHTING,1
processed/images/ROADS/roads_0594.jpg,roads_0594.jpg,ROADS,0
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_0971.jpg,public_infrastructure_0971.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/TREES_ENVIRONMENT/trees_environment_0489.jpg,trees_environment_0489.jpg,TREES_ENVIRONMENT,4
processed/images/TREES_ENVIRONMENT/trees_environment_0022.jpg,trees_environment_0022.jpg,TREES_ENVIRONMENT,4
processed/images/ROADS/roads_1500.png,roads_1500.png,ROADS,0
processed/images/ROADS/roads_0787.jpg,roads_0787.jpg,ROADS,0
processed/images/ROADS/roads_1224.jpg,roads_1224.jpg,ROADS,0
processed/images/TREES_ENVIRONMENT/trees_environment_1101.jpg,trees_environment_1101.jpg,TREES_ENVIRONMENT,4
processed/images/TREES_ENVIRONMENT/trees_environment_0479.jpg,trees_environment_0479.jpg,TREES_ENVIRONMENT,4
processed/images/ROADS/roads_0411.jpg,roads_0411.jpg,ROADS,0
processed/images/WASTE_MANAGEMENT/waste_management_0569.jpg,waste_management_0569.jpg,WASTE_MANAGEMENT,3
processed/images/TREES_ENVIRONMENT/trees_environment_1161.jpg,trees_environment_1161.jpg,TREES_ENVIRONMENT,4
processed/images/ROADS/roads_0822.jpg,roads_0822.jpg,ROADS,0
processed/images/PUBLIC_INFRASTRUCTURE/public_infrastructure_1152.jpg,public_infrastructure_1152.jpg,PUBLIC_INFRASTRUCTURE,5
processed/images/TREES_ENVIRONMENT/trees_environment_0967.jpg,trees_environment_0967.jpg,TREES_ENVIRONMENT,4
processed/images/ROADS/roads_0530.jpg,roads_0530.jpg,ROADS,0
processed/images/WASTE_MANAGEMENT/waste_management_0367.jpg,waste_management_0367.jpg,WASTE_MANAGEMENT,3
processed/images/ROADS/roads_0237.jpg,roads_0237.jpg,ROADS,0
processed/images/WATER_DRAINAGE/water_drainage_0419.jpg,water_drainage_0419.jpg,WATER_DRAINAGE,2
processed/images/WASTE_MANAGEMENT/waste_management_0709.jpg,waste_management_0709.jpg,WASTE_MANAGEMENT,3
processed/images/STREET_LIGHTING/street_lighting_0875.jpg,street_lighting_0875.jpg,STREET_LIGHTING,1
processed/images/TREES_ENVIRONMENT/trees_environment_1479.jpg,trees_environment_1479.jpg,TREES_ENVIRONMENT,4
processed/images/TREES_ENVIRONMENT/trees_environment_0809.jpg,trees_environment_0809.jpg,TREES_ENVIRONMENT,4
processed/images/ROADS/roads_1448.png,roads_1448.png,ROADS,0
processed/images/ROADS/roads_1018.jpg,roads_1018.jpg,ROADS,0
